customer_id,age,city,occupation,monthly_salary,credit_score
SYN-1000,61,Mumbai,Salaried,97097,675
SYN-1001,35,Delhi,Salaried,167964,594
SYN-1002,58,Pune,Salaried,32811,597
SYN-1003,34,Delhi,Salaried,172127,651
SYN-1004,62,Chennai,Business,82787,779
SYN-1005,58,Bangalore,Salaried,66853,766
SYN-1006,42,Bangalore,Salaried,81443,722
SYN-1007,27,Mumbai,Business,50353,733
SYN-1008,43,Chennai,Business,36390,785
SYN-1009,55,Mumbai,Business,45656,832
SYN-1010,39,Chennai,Business,176349,648
SYN-1011,25,Mumbai,Salaried,100861,590
SYN-1012,35,Mumbai,Business,97869,782
SYN-1013,61,Bangalore,Salaried,122040,731
SYN-1014,34,Bangalore,Salaried,184680,637
SYN-1015,55,Delhi,Salaried,146178,744
SYN-1016,38,Chennai,Salaried,110008,578
SYN-1017,35,Mumbai,Business,130162,687
SYN-1018,25,Delhi,Business,80738,805
SYN-1019,46,Pune,Salaried,94436,621
SYN-1020,36,Chennai,Business,178245,769
SYN-1021,58,Pune,Business,82493,620
SYN-1022,53,Pune,Salaried,37351,606
SYN-1023,30,Delhi,Business,181345,582
SYN-1024,45,Pune,Business,163704,678
SYN-1025,56,Mumbai,Salaried,165763,686
SYN-1026,62,Bangalore,Salaried,101939,772
SYN-1027,31,Pune,Salaried,94045,806
SYN-1028,32,Chennai,Salaried,188918,702
SYN-1029,61,Chennai,Salaried,65065,741
SYN-1030,31,Chennai,Salaried,182009,715
SYN-1031,52,Mumbai,Salaried,120153,707
SYN-1032,36,Mumbai,Salaried,173729,590
SYN-1033,26,Pune,Salaried,164645,614
SYN-1034,29,Pune,Salaried,94483,820
SYN-1035,59,Pune,Salaried,166373,652
SYN-1036,40,Pune,Business,139845,814
SYN-1037,49,Mumbai,Salaried,83903,582
SYN-1038,42,Mumbai,Salaried,179256,662
SYN-1039,21,Mumbai,Salaried,85015,584
SYN-1040,23,Bangalore,Salaried,159782,671
SYN-1041,38,Pune,Salaried,166356,617
SYN-1042,57,Chennai,Business,88700,792
SYN-1043,47,Delhi,Salaried,50409,770
SYN-1044,43,Pune,Business,147427,577
SYN-1045,64,Mumbai,Salaried,130544,723
SYN-1046,27,Delhi,Salaried,74862,824
SYN-1047,49,Delhi,Business,73100,692
SYN-1048,50,Delhi,Salaried,141164,831
SYN-1049,27,Mumbai,Salaried,49448,671
SYN-1050,31,Pune,Business,151185,659
SYN-1051,46,Mumbai,Salaried,124345,551
SYN-1052,45,Bangalore,Business,99776,766
SYN-1053,65,Chennai,Business,65579,647
SYN-1054,39,Delhi,Salaried,176828,827
SYN-1055,24,Bangalore,Salaried,38144,849
SYN-1056,51,Chennai,Salaried,39910,810
SYN-1057,26,Delhi,Salaried,180984,584
SYN-1058,64,Delhi,Business,56427,841
SYN-1059,36,Chennai,Salaried,187367,591
SYN-1060,47,Chennai,Business,93358,654
SYN-1061,63,Bangalore,Salaried,94629,752
SYN-1062,29,Bangalore,Business,107883,587
SYN-1063,21,Pune,Salaried,44204,825
SYN-1064,34,Chennai,Business,59722,728
SYN-1065,25,Delhi,Business,99707,630
SYN-1066,49,Chennai,Business,185347,820
SYN-1067,21,Chennai,Business,198903,603
SYN-1068,29,Bangalore,Salaried,53058,833
SYN-1069,30,Bangalore,Business,183552,657
SYN-1070,42,Delhi,Business,157489,800
SYN-1071,37,Mumbai,Salaried,191273,766
SYN-1072,38,Mumbai,Salaried,112439,616
SYN-1073,61,Bangalore,Salaried,140824,832
SYN-1074,48,Chennai,Salaried,54327,588
SYN-1075,65,Delhi,Salaried,121787,848
SYN-1076,56,Delhi,Business,58409,571
SYN-1077,40,Bangalore,Salaried,118797,657
SYN-1078,64,Delhi,Salaried,117714,836
SYN-1079,47,Chennai,Salaried,87059,633
SYN-1080,32,Pune,Salaried,72018,720
SYN-1081,47,Delhi,Business,66732,605
SYN-1082,45,Mumbai,Business,83309,652
SYN-1083,50,Bangalore,Business,84662,664
SYN-1084,22,Delhi,Business,111051,692
SYN-1085,25,Bangalore,Business,193160,810
SYN-1086,46,Chennai,Business,32235,609
SYN-1087,37,Delhi,Business,35028,605
SYN-1088,59,Pune,Business,107228,773
SYN-1089,59,Chennai,Salaried,125976,845
SYN-1090,33,Bangalore,Salaried,139309,550
SYN-1091,54,Chennai,Salaried,120478,770
SYN-1092,25,Bangalore,Business,198903,613
SYN-1093,40,Chennai,Business,199821,759
SYN-1094,41,Pune,Business,170335,615
SYN-1095,33,Pune,Business,70620,841
SYN-1096,40,Pune,Salaried,104658,696
SYN-1097,34,Pune,Business,146893,776
SYN-1098,49,Delhi,Business,69483,593
SYN-1099,39,Chennai,Business,49480,670
SYN-1100,64,Bangalore,Salaried,77200,625
SYN-1101,22,Mumbai,Salaried,149554,587
SYN-1102,50,Pune,Salaried,125657,803
SYN-1103,46,Delhi,Salaried,196981,552
SYN-1104,27,Pune,Salaried,71107,815
SYN-1105,50,Mumbai,Salaried,56813,783
SYN-1106,29,Pune,Business,141017,808
SYN-1107,48,Chennai,Business,66722,793
SYN-1108,49,Bangalore,Salaried,192159,691
SYN-1109,54,Pune,Salaried,96984,775
SYN-1110,25,Bangalore,Salaried,96228,721
SYN-1111,41,Chennai,Salaried,61273,627
SYN-1112,35,Pune,Salaried,81086,582
SYN-1113,47,Pune,Business,167242,788
SYN-1114,47,Mumbai,Salaried,135138,749
SYN-1115,58,Mumbai,Business,150037,553
SYN-1116,43,Bangalore,Business,134843,825
SYN-1117,55,Chennai,Salaried,152986,662
SYN-1118,38,Pune,Business,32608,749
SYN-1119,42,Pune,Salaried,147523,615
SYN-1120,60,Chennai,Salaried,128290,838
SYN-1121,63,Mumbai,Salaried,193492,769
SYN-1122,29,Pune,Salaried,38181,683
SYN-1123,45,Bangalore,Salaried,144196,717
SYN-1124,42,Pune,Business,135510,679
SYN-1125,26,Pune,Salaried,166405,576
SYN-1126,43,Delhi,Salaried,195853,570
SYN-1127,22,Delhi,Salaried,30342,628
SYN-1128,36,Delhi,Business,54986,838
SYN-1129,34,Pune,Business,121703,635
SYN-1130,59,Chennai,Salaried,67930,709
SYN-1131,27,Chennai,Salaried,106777,844
SYN-1132,64,Pune,Business,76990,588
SYN-1133,58,Delhi,Salaried,104058,611
SYN-1134,57,Mumbai,Business,164655,769
SYN-1135,63,Bangalore,Salaried,157634,724
SYN-1136,21,Pune,Business,52666,771
SYN-1137,44,Pune,Salaried,139160,640
SYN-1138,54,Bangalore,Business,146863,773
SYN-1139,58,Bangalore,Business,89355,594
SYN-1140,38,Pune,Salaried,146820,841
SYN-1141,60,Pune,Business,32523,803
SYN-1142,41,Delhi,Business,80605,731
SYN-1143,37,Bangalore,Business,181278,691
SYN-1144,56,Mumbai,Salaried,47442,673
SYN-1145,47,Pune,Salaried,149804,801
SYN-1146,49,Mumbai,Salaried,102132,663
SYN-1147,46,Delhi,Business,199053,847
SYN-1148,44,Pune,Business,136543,831
SYN-1149,42,Bangalore,Business,96019,706
SYN-1150,37,Delhi,Salaried,75484,711
SYN-1151,28,Chennai,Salaried,75211,660
SYN-1152,51,Bangalore,Business,51352,649
SYN-1153,39,Delhi,Business,72039,704
SYN-1154,21,Chennai,Salaried,96909,573
SYN-1155,24,Chennai,Business,58103,801
SYN-1156,27,Mumbai,Business,148049,795
SYN-1157,49,Bangalore,Salaried,38468,679
SYN-1158,51,Mumbai,Salaried,130043,801
SYN-1159,25,Chennai,Salaried,64774,626
SYN-1160,57,Bangalore,Salaried,90061,610
SYN-1161,56,Pune,Salaried,161989,744
SYN-1162,49,Pune,Business,179278,769
SYN-1163,40,Chennai,Salaried,184811,600
SYN-1164,34,Delhi,Business,198127,591
SYN-1165,31,Delhi,Salaried,169701,588
SYN-1166,31,Mumbai,Business,143096,790
SYN-1167,39,Mumbai,Salaried,100524,694
SYN-1168,65,Pune,Salaried,86190,685
SYN-1169,61,Chennai,Salaried,136447,608
SYN-1170,55,Delhi,Salaried,94633,622
SYN-1171,25,Mumbai,Salaried,105638,841
SYN-1172,39,Pune,Salaried,147866,705
SYN-1173,65,Pune,Business,156195,826
SYN-1174,52,Pune,Salaried,181771,570
SYN-1175,48,Bangalore,Business,31780,596
SYN-1176,35,Chennai,Salaried,95650,845
SYN-1177,23,Delhi,Business,161043,776
SYN-1178,38,Delhi,Business,191405,801
SYN-1179,26,Pune,Business,132046,720
SYN-1180,41,Mumbai,Salaried,111456,760
SYN-1181,65,Pune,Business,198692,755
SYN-1182,56,Mumbai,Business,48084,711
SYN-1183,37,Bangalore,Salaried,130952,813
SYN-1184,21,Chennai,Business,133330,577
SYN-1185,33,Chennai,Business,188219,805
SYN-1186,61,Pune,Salaried,78361,686
SYN-1187,56,Delhi,Business,139849,798
SYN-1188,28,Mumbai,Salaried,66517,709
SYN-1189,56,Mumbai,Business,49434,665
SYN-1190,28,Pune,Salaried,194793,628
SYN-1191,52,Bangalore,Business,133918,797
SYN-1192,51,Delhi,Business,169510,624
SYN-1193,45,Delhi,Salaried,43300,691
SYN-1194,47,Bangalore,Business,25672,694
SYN-1195,40,Chennai,Business,63953,778
SYN-1196,55,Pune,Business,112147,832
SYN-1197,55,Pune,Business,109352,646
SYN-1198,65,Delhi,Business,86226,760
SYN-1199,23,Bangalore,Business,124937,747
SYN-1200,63,Delhi,Business,34704,614
SYN-1201,53,Chennai,Business,51309,775
SYN-1202,27,Chennai,Business,29023,623
SYN-1203,47,Delhi,Salaried,148074,685
SYN-1204,42,Chennai,Business,195350,591
SYN-1205,42,Chennai,Business,108010,799
SYN-1206,55,Mumbai,Salaried,86543,697
SYN-1207,35,Mumbai,Business,50806,601
SYN-1208,49,Delhi,Business,32588,573
SYN-1209,41,Mumbai,Business,118969,741
SYN-1210,48,Delhi,Salaried,164242,760
SYN-1211,57,Delhi,Salaried,70893,590
SYN-1212,60,Pune,Salaried,155460,848
SYN-1213,30,Delhi,Business,192222,680
SYN-1214,50,Bangalore,Salaried,146963,697
SYN-1215,64,Chennai,Salaried,44362,776
SYN-1216,43,Chennai,Business,192493,767
SYN-1217,65,Bangalore,Business,104199,651
SYN-1218,45,Pune,Salaried,87182,745
SYN-1219,57,Bangalore,Business,102392,561
SYN-1220,63,Pune,Business,27122,839
SYN-1221,64,Mumbai,Business,100024,667
SYN-1222,59,Bangalore,Salaried,191885,647
SYN-1223,60,Bangalore,Salaried,189691,599
SYN-1224,61,Mumbai,Business,140559,567
SYN-1225,58,Bangalore,Salaried,48627,701
SYN-1226,41,Pune,Salaried,77637,617
SYN-1227,55,Bangalore,Business,68134,681
