customer_id,week_number,risk_score_at_trigger,intervention_type,channel,status,outcome,top_signal
CUS-10003,3,0.4119,SMS_OUTREACH,SMS,DELIVERED,PENDING,savings_wow_delta_pct
CUS-10003,6,0.4899,MONITOR_ONLY,CALL,SENT,RECOVERED,credit_utilization
CUS-10003,9,0.5168,MONITOR_ONLY,EMAIL,SENT,PENDING,atm_withdrawal_count_7d
CUS-10003,16,0.4291,MONITOR_ONLY,EMAIL,OPENED,NO_ACTION,lending_upi_count_7d
CUS-10003,22,0.4063,SMS_OUTREACH,SMS,OPENED,RECOVERED,atm_withdrawal_count_7d
CUS-10003,26,0.4955,SMS_OUTREACH,APP,DELIVERED,RECOVERED,atm_withdrawal_count_7d
CUS-10003,27,0.4253,SMS_OUTREACH,SMS,DELIVERED,PENDING,failed_autodebit_count
CUS-10003,30,0.4589,MONITOR_ONLY,CALL,DELIVERED,RECOVERED,utility_payment_delay_days
CUS-10003,34,0.5221,SMS_OUTREACH,APP,DELIVERED,RECOVERED,savings_wow_delta_pct
CUS-10003,37,0.488,MONITOR_ONLY,SMS,IGNORED,NO_ACTION,atm_withdrawal_count_7d
CUS-10003,40,0.4067,SMS_OUTREACH,CALL,IGNORED,NO_ACTION,lending_upi_count_7d
CUS-10003,47,0.4531,SMS_OUTREACH,SMS,SENT,RECOVERED,savings_wow_delta_pct
CUS-10003,51,0.4708,SMS_OUTREACH,APP,OPENED,RECOVERED,lending_upi_count_7d
CUS-10006,1,0.4176,MONITOR_ONLY,EMAIL,ACTED_UPON,RECOVERED,failed_autodebit_count
CUS-10006,3,0.5287,SMS_OUTREACH,SMS,ACTED_UPON,PENDING,failed_autodebit_count
CUS-10006,4,0.4111,MONITOR_ONLY,CALL,OPENED,NO_ACTION,credit_utilization
CUS-10006,5,0.5817,RESTRUCTURING_OFFER,APP,OPENED,PENDING,credit_utilization
CUS-10006,6,0.41,MONITOR_ONLY,APP,OPENED,NO_ACTION,atm_withdrawal_count_7d
CUS-10006,7,0.4606,SMS_OUTREACH,CALL,DELIVERED,RECOVERED,savings_wow_delta_pct
CUS-10006,17,0.4339,MONITOR_ONLY,APP,ACTED_UPON,RECOVERED,failed_autodebit_count
CUS-10006,21,0.4384,SMS_OUTREACH,CALL,DELIVERED,NO_ACTION,utility_payment_delay_days
CUS-10006,23,0.4534,MONITOR_ONLY,APP,ACTED_UPON,RECOVERED,lending_upi_count_7d
CUS-10006,27,0.52,SMS_OUTREACH,EMAIL,IGNORED,PENDING,gambling_spend_7d
CUS-10006,35,0.4283,MONITOR_ONLY,SMS,OPENED,PENDING,gambling_spend_7d
CUS-10006,36,0.45,SMS_OUTREACH,SMS,ACTED_UPON,PENDING,failed_autodebit_count
CUS-10006,37,0.4412,MONITOR_ONLY,EMAIL,ACTED_UPON,RECOVERED,savings_wow_delta_pct
