loan_id,customer_id,loan_amount,loan_amnt_div_instlmnt,int_rate%,loan_age,debt_settlement_flag,out_prncp
L-1000,SYN-1000,449726,12.0,9.14,27,0,0.0
L-1001,SYN-1001,970073,48.0,8.6,36,0,580757.3612363924
L-1002,SYN-1002,870714,36.0,14.18,48,0,244241.6554922627
L-1003,SYN-1003,320746,24.0,22.57,35,0,193232.68107419458
L-1004,SYN-1004,940548,24.0,17.5,8,0,0.0
L-1005,SYN-1005,258042,36.0,25.42,46,0,0.0
L-1006,SYN-1006,344450,36.0,24.8,25,0,0.0
L-1007,SYN-1007,80054,12.0,11.85,3,0,61179.25547554092
L-1008,SYN-1008,724788,24.0,10.2,52,0,303053.7752284256
L-1009,SYN-1009,888715,60.0,16.9,20,0,0.0
L-1010,SYN-1010,733286,48.0,22.62,54,0,0.0
L-1011,SYN-1011,293011,60.0,14.72,53,0,0.0
L-1012,SYN-1012,390623,48.0,7.45,53,0,244027.64181357133
L-1013,SYN-1013,683926,60.0,8.79,46,0,297423.43635212746
L-1014,SYN-1014,123015,24.0,15.65,47,0,0.0
L-1015,SYN-1015,840224,12.0,12.05,55,0,182839.58937279353
L-1016,SYN-1016,963944,48.0,24.07,5,1,624998.8643754387
L-1017,SYN-1017,648120,36.0,21.96,39,0,0.0
L-1018,SYN-1018,369690,24.0,19.47,25,0,0.0
L-1019,SYN-1019,456006,48.0,19.1,21,0,270640.93030930666
L-1020,SYN-1020,780542,48.0,24.69,47,0,0.0
L-1021,SYN-1021,186766,48.0,14.2,35,1,61992.27088517848
L-1022,SYN-1022,828552,12.0,20.62,31,0,384420.4840558062
L-1023,SYN-1023,871198,36.0,21.64,23,0,469860.00855994964
L-1024,SYN-1024,905758,48.0,21.94,38,0,201801.3581280156
L-1025,SYN-1025,817854,60.0,19.73,48,0,0.0
L-1026,SYN-1026,943640,12.0,8.11,31,1,0.0
L-1027,SYN-1027,158464,24.0,21.34,42,0,0.0
L-1028,SYN-1028,520256,48.0,26.99,50,0,112618.3787076548
L-1029,SYN-1029,865987,60.0,13.34,21,0,0.0
L-1030,SYN-1030,352429,24.0,20.14,60,0,0.0
L-1031,SYN-1031,307135,36.0,21.99,52,0,0.0
L-1032,SYN-1032,903092,60.0,11.24,16,0,0.0
L-1033,SYN-1033,899008,48.0,21.97,58,0,714564.9568207572
L-1034,SYN-1034,180751,24.0,8.01,11,0,39608.88585116273
L-1035,SYN-1035,528512,48.0,9.01,8,0,0.0
L-1036,SYN-1036,976449,12.0,24.55,58,0,29308.456003943917
L-1037,SYN-1037,983344,60.0,23.6,20,0,0.0
L-1038,SYN-1038,52127,48.0,22.28,10,0,3172.0983275319345
L-1039,SYN-1039,470823,36.0,12.35,48,0,0.0
L-1040,SYN-1040,660820,60.0,12.06,51,0,160410.72015086567
L-1041,SYN-1041,816985,36.0,25.34,34,0,0.0
L-1042,SYN-1042,857002,60.0,26.26,57,0,487084.48352110037
L-1043,SYN-1043,302890,48.0,28.0,45,0,163485.6239801573
L-1044,SYN-1044,813372,48.0,16.63,6,0,0.0
L-1045,SYN-1045,176877,24.0,14.15,14,0,12246.42199956368
L-1046,SYN-1046,731366,60.00000000000001,24.39,38,0,0.0
L-1047,SYN-1047,475909,48.0,19.01,40,0,154524.32792946964
L-1048,SYN-1048,813376,12.0,10.12,30,0,0.0
L-1049,SYN-1049,263142,60.0,27.85,56,0,0.0
L-1050,SYN-1050,531688,12.0,15.61,28,0,0.0
L-1051,SYN-1051,190086,12.0,23.14,3,0,151007.99367463935
L-1052,SYN-1052,545333,12.0,24.47,50,0,0.0
L-1053,SYN-1053,518732,12.0,24.03,34,0,262069.07159694974
L-1054,SYN-1054,838334,48.0,26.3,48,0,0.0
L-1055,SYN-1055,658216,24.0,10.45,34,0,0.0
L-1056,SYN-1056,790610,12.0,18.98,59,0,319157.90142547025
L-1057,SYN-1057,672715,24.0,21.12,47,0,0.0
L-1058,SYN-1058,617096,48.0,25.17,46,0,29257.844573129893
L-1059,SYN-1059,547834,36.0,21.14,20,0,193557.10577424074
L-1060,SYN-1060,497815,48.0,15.3,46,0,0.0
L-1061,SYN-1061,584596,24.0,17.55,31,0,222908.34327267818
L-1062,SYN-1062,417027,12.0,25.04,54,1,255125.1715638145
L-1063,SYN-1063,841461,24.0,8.28,30,0,667578.4049948162
L-1064,SYN-1064,286735,12.0,11.55,57,0,0.0
L-1065,SYN-1065,997942,36.0,14.25,26,0,8070.637434533675
L-1066,SYN-1066,800515,12.0,27.98,32,0,0.0
L-1067,SYN-1067,863233,12.0,22.38,17,0,236753.43943465114
L-1068,SYN-1068,728739,24.0,12.71,28,0,72958.07221311647
L-1069,SYN-1069,792486,60.0,11.2,51,0,0.0
L-1070,SYN-1070,75924,12.0,22.12,25,0,0.0
L-1071,SYN-1071,468843,48.0,19.61,16,0,86472.71274766632
L-1072,SYN-1072,320398,24.0,10.14,25,0,242597.2974470125
L-1073,SYN-1073,594877,24.0,16.77,60,0,0.0
L-1074,SYN-1074,279759,48.0,21.16,14,0,0.0
L-1075,SYN-1075,156962,12.0,11.89,17,0,0.0
L-1076,SYN-1076,818972,12.0,7.15,47,0,136025.55486235797
L-1077,SYN-1077,989644,12.0,11.29,31,1,184645.059818605
L-1078,SYN-1078,848661,24.0,21.34,43,0,0.0
L-1079,SYN-1079,589637,24.0,18.2,26,0,0.0
L-1080,SYN-1080,136496,24.0,14.56,34,0,0.0
L-1081,SYN-1081,63255,36.0,16.76,31,0,0.0
L-1082,SYN-1082,795395,36.0,22.81,46,0,267867.7117206891
L-1083,SYN-1083,740723,48.0,18.35,60,0,0.0
L-1084,SYN-1084,360160,36.0,24.73,25,0,0.0
L-1085,SYN-1085,774734,24.0,9.01,34,0,0.0
L-1086,SYN-1086,283263,48.0,20.04,13,0,46740.34898350971
L-1087,SYN-1087,202535,48.0,11.16,41,0,0.0
L-1088,SYN-1088,696699,24.0,12.52,11,0,0.0
L-1089,SYN-1089,716537,60.0,7.8,41,0,0.0
L-1090,SYN-1090,541519,59.99999999999999,25.11,46,0,0.0
L-1091,SYN-1091,73967,24.0,10.46,41,0,0.0
L-1092,SYN-1092,914314,48.0,27.24,54,0,501006.0875980319
L-1093,SYN-1093,81303,24.0,13.96,28,0,0.0
L-1094,SYN-1094,822214,59.99999999999999,15.5,45,0,301089.9308655998
L-1095,SYN-1095,362123,48.0,15.77,8,0,0.0
L-1096,SYN-1096,655034,60.0,16.0,12,0,322610.95763199124
L-1097,SYN-1097,983838,12.0,11.85,24,0,369689.139772533
L-1098,SYN-1098,227100,24.0,9.17,25,0,164882.65204040852
L-1099,SYN-1099,513225,36.0,11.32,46,0,247874.30378160838
L-1100,SYN-1100,694965,36.0,26.26,21,1,0.0
L-1101,SYN-1101,414764,36.0,23.55,21,0,219832.39058274607
L-1102,SYN-1102,435877,24.0,8.56,6,0,18681.816489950517
L-1103,SYN-1103,824195,12.0,7.33,12,0,0.0
L-1104,SYN-1104,263934,48.0,21.1,17,0,0.0
L-1105,SYN-1105,417970,48.0,20.79,32,0,0.0
L-1106,SYN-1106,244917,24.0,26.89,16,0,0.0
L-1107,SYN-1107,330915,60.0,11.49,7,0,210977.71131328036
L-1108,SYN-1108,658447,12.0,7.7,3,0,0.0
L-1109,SYN-1109,465582,12.0,22.7,16,0,0.0
L-1110,SYN-1110,483429,36.0,13.39,51,0,0.0
L-1111,SYN-1111,979634,60.0,20.19,15,0,0.0
L-1112,SYN-1112,693865,36.0,20.23,20,0,0.0
L-1113,SYN-1113,883575,12.0,23.52,42,0,0.0
L-1114,SYN-1114,569725,12.0,26.29,21,0,0.0
L-1115,SYN-1115,738843,36.0,20.41,38,0,444031.13345298456
L-1116,SYN-1116,904180,24.0,22.03,29,0,0.0
