loan_id,total_rec_late_fee,recoveries,last_pymnt_amnt,time_since_last_payment,total_rec_int,total_rec_prncp,loan_status_binary
L-1000,0.0,0.0,34807.99903146618,1,112341.49807657047,330789.48833414953,1
L-1001,181.5638908328591,1128.320944062497,1.4242064764472817,20,97007.3,271202.531153984,0
L-1002,0.0,0.0,26846.046903751027,1,122302.76502150152,484041.8617119006,1
L-1003,314.33661322260826,1267.0023367699569,31.247399296615207,33,32074.600000000002,88334.92860794683,0
L-1004,0.0,0.0,39655.34097483741,0,113937.35210718926,607667.0110185393,1
L-1005,217.34767290635878,843.9698427705986,27.794430621723755,35,25804.2,79428.74338916662,0
L-1006,291.01961158128046,471.1273538006875,27.64906191219213,23,34445.0,65015.401722480914,0
L-1007,0.0,0.0,6457.034502287844,0,18698.05469088887,75360.7934321805,1
L-1008,0.0,0.0,34656.52144642695,1,140066.10420163497,570959.2420290235,1
L-1009,0.0,0.0,17540.199214445336,1,123887.82069620922,828586.7580341337,1
L-1010,204.04585402433943,905.8606852774031,22.5994186766875,36,73328.6,204357.30735463236,0
L-1011,0.0,0.0,4587.142592061477,0,49446.79295362631,208680.85944187516,1
L-1012,0.0,0.0,7376.27138512236,0,105990.00312995614,348279.13925473724,1
L-1013,0.0,0.0,11635.995209057643,0,122325.8889851166,557981.4704190964,1
L-1014,0.0,0.0,5810.3012625581405,1,17373.227956168463,108942.79705757303,1
L-1015,0.0,0.0,71277.63250254738,1,198257.11431677462,581175.6585202956,1
L-1016,312.4973420676384,876.2052145706991,49.25463753150876,21,96394.40000000001,128021.71939444015,0
L-1017,0.0,0.0,16636.08679669037,1,111009.88612038086,397616.1126980715,1
L-1018,244.51932011896773,1972.467577486107,28.713285142511875,26,36969.0,105468.90282422774,0
L-1019,0.0,0.0,10938.923064721146,0,53538.767232788174,338685.0301746803,1
L-1020,238.62737810446467,514.4893524149551,40.033352853040334,32,78054.2,143464.6205107808,0
L-1021,235.60382144479763,389.4928062261478,1.7419295714520444,9,18676.600000000002,68340.21841369958,0
L-1022,0.0,0.0,80084.20395793687,1,184754.16525281343,671392.9549994196,1
L-1023,0.0,0.0,25267.712613617186,1,224448.8420710653,655285.1886955425,1
L-1024,0.0,0.0,22531.191664939335,0,122295.57828862168,819973.741528203,1
L-1025,0.0,0.0,13118.27568433749,1,114409.63775837954,639761.7303940098,1
L-1026,408.5006522571528,431.20969816077735,9.673044242118817,24,94364.0,235945.29101592407,0
L-1027,106.8457819477436,187.68699455930567,21.526505601676483,23,15846.400000000001,48571.38172613975,0
L-1028,251.93539016752172,901.9958531220568,6.0297589716252595,17,52025.600000000006,202651.71495562195,0
L-1029,0.0,0.0,15753.937552854506,1,226154.92798477827,439430.6469669607,1
L-1030,0.0,0.0,16857.59883965104,0,102348.00930149564,311504.2903513197,1
L-1031,0.0,0.0,8332.410295843363,1,48691.548614363004,288470.62852627656,1
L-1032,0.0,0.0,15292.158618332827,1,214183.51758475462,610126.6875696407,1
L-1033,337.9584451230666,1387.877011651662,17.362835598551214,11,89900.8,237872.95718551648,0
L-1034,0.0,0.0,6891.307680468832,1,29924.544395402005,132801.27806910433,1
L-1035,0.0,0.0,12829.86776671957,1,118234.38073976534,303904.0138509746,1
L-1036,438.03697233421946,1744.8635019683088,48.82066251793915,6,97644.90000000001,322988.5805301626,0
L-1037,467.08286074901054,758.2783838360705,33.94657657443261,34,98334.40000000001,239440.1569638044,0
L-1038,253.30179845993231,1319.2340353067866,14.845175397447901,10,5212.700000000001,15198.18316754692,0
L-1039,346.22915814235216,104.76463586598027,45.99209736482418,36,47082.3,67411.13221818994,0
L-1040,0.0,0.0,13214.981732140768,1,178154.15983139243,387563.2250384316,1
L-1041,465.9816017360087,152.14635977970147,41.729951174719325,19,81698.5,184090.2707808793,0
L-1042,497.45176555716597,1319.836415375014,1.3762503710206209,27,85700.20000000001,292311.6372967255,0
L-1043,451.11955591848755,1160.266291570808,39.97114803230136,25,30289.0,65526.5166277297,0
L-1044,480.0374831645968,1018.4809849151243,7.34189757526364,7,81337.20000000001,146055.9592361436,0
L-1045,0.0,0.0,7754.8248067741515,1,46219.72303103455,141843.83472478506,1
L-1046,292.722236745184,1520.722149400361,33.71749357589753,29,73136.6,94211.22619133959,0
L-1047,0.0,0.0,9988.037019518782,0,126753.5100516203,338352.79805690405,1
L-1048,0.0,0.0,64331.81145601929,0,237407.70781222265,756407.599999445,1
L-1049,67.33693923374949,814.691773361865,3.1480534690831954,6,26314.2,37316.76856405529,0
L-1050,0.0,0.0,40154.607544282815,1,55773.425127940834,417605.0640413024,1
L-1051,221.42813148838817,548.8230097616788,28.68117252746123,21,19008.600000000002,50409.462600835905,0
L-1052,451.826055218248,1106.3670906383652,3.5910333302075212,14,54533.3,119405.00438276332,0
L-1053,390.7422095720916,1970.1219270468532,27.92595183307332,14,51873.200000000004,160223.5277507664,0
L-1054,185.89489427935953,1982.6769181136272,23.42083139956622,28,83833.40000000001,299264.5353515032,0
L-1055,0.0,0.0,27239.869013685224,1,170897.97780932277,549817.9212801241,1
L-1056,0.0,0.0,66588.44774281059,1,213114.7871088526,430620.95084809273,1
L-1057,0.0,0.0,28577.18896525385,0,97209.68992583783,668631.4024125071,1
L-1058,156.12273821728778,1878.372845374737,31.027635698580458,6,61709.600000000006,82913.02840379452,0
L-1059,0.0,0.0,17578.243161728293,1,143528.62852885845,296407.9685265168,1
L-1060,0.0,0.0,9752.863823362957,0,88817.23345010831,460786.49850894,1
L-1061,0.0,0.0,21955.912189506606,1,76002.08226090384,487820.85412040935,1
L-1062,355.39903428593095,1758.0592969029522,16.59930335684978,8,41702.700000000004,132956.5624120791,0
L-1063,0.0,0.0,40442.762364610724,0,240647.74308036282,446738.0240255819,1
L-1064,203.72625203438346,1070.1106992831901,19.732744122074426,34,28673.5,69112.97521295717,0
L-1065,0.0,0.0,32099.57525126124,0,101752.4125627393,563385.0299309312,1
L-1066,493.3172227062084,266.3110660148965,28.067096458987645,24,80051.5,94800.99300916227,0
L-1067,207.41101221766402,1008.4450739011761,5.5528197728870134,30,86323.3,228720.58283301588,0
L-1068,0.0,0.0,30525.761131582225,1,144476.86887966495,432027.24798315665,1
L-1069,0.0,0.0,12507.851273470891,1,225678.4563238899,684535.4106145548,1
L-1070,364.7625864429003,1925.3173523240168,25.81507351705618,9,7592.400000000001,8836.277651077138,0
L-1071,0.0,0.0,10452.192558638471,0,61850.72274431818,296447.18761738506,1
L-1072,0.0,0.0,15520.93666601769,1,82762.27677409093,202436.74949168277,1
L-1073,0.0,0.0,25282.0232027895,0,160862.87570082204,468063.5502835409,1
L-1074,0.0,0.0,5469.216564746119,0,76972.67998078339,208517.25207169406,1
L-1075,0.0,0.0,14421.914448253145,1,17763.864144179806,93244.95492243423,1
L-1076,0.0,0.0,64862.934939255174,1,194694.4798442654,458142.34948783944,1
L-1077,148.7194476979767,1629.6908530689807,39.765985352682975,28,98964.40000000001,242258.7588119708,0
L-1078,0.0,0.0,35828.793056848524,0,217240.67309529943,457034.15815542213,1
L-1079,0.0,0.0,25996.881957312322,0,124107.47798508141,328387.98260296363,1
L-1080,0.0,0.0,6722.01239042451,0,28016.62960719934,130931.62690030028,1
L-1081,0.0,0.0,1699.4299998256404,1,11921.551828677144,37834.39146217001,1
L-1082,492.20345295452984,394.4601939752643,2.975216838977074,34,79539.5,244413.93542292668,0
L-1083,0.0,0.0,14162.52353309248,0,137893.7984795277,580990.3810424804,1
L-1084,218.3197990894357,454.9174338598994,23.908863971283917,21,36016.0,114647.03652344545,0
L-1085,0.0,0.0,33695.87292671136,0,170651.32114122584,658415.3784373238,1
L-1086,0.0,0.0,6631.703336535089,0,79127.24915166157,267483.7236882628,1
L-1087,246.88205804324105,1836.9294931236564,32.471365104830326,13,20253.5,49425.9749852501,0
L-1088,0.0,0.0,29880.770246958447,0,123025.05850552356,380520.15044292156,1
L-1089,0.0,0.0,12449.986619784007,1,79318.3158106471,410199.35106075875,1
L-1090,181.6116145675438,171.93141797896845,8.281350663983156,11,54151.9,69995.53992298908,0
L-1091,0.0,0.0,2786.0254956781087,0,19740.204277419438,37674.8272680032,1
L-1092,403.2113576971425,1847.5956000352544,4.332793989716944,28,91431.40000000001,153522.7333842047,0
L-1093,309.7279388979004,1118.2370717417618,41.59365404337421,14,8130.3,28698.188098335406,0
L-1094,0.0,0.0,15626.878699422756,0,244900.64803380324,689557.7743576939,1
L-1095,0.0,0.0,7957.965709687013,0,52854.17001911437,268289.90702400514,1
L-1096,0.0,0.0,10579.983450707221,1,84194.09653911344,504691.96619634435,1
L-1097,0.0,0.0,78204.8799338191,1,281338.2103431612,527753.3629808506,1
L-1098,0.0,0.0,11278.73501449956,0,36456.32298745806,210455.0261221081,1
L-1099,0.0,0.0,15698.612709232437,0,127442.37513903076,258377.98835108132,1
